,State,City,M,n,M_social,n_social,M_race,n_race,M_gender,n_gender,M_sexual_orientation,n_sexual_orientation,M_disabilities,n_disabilities,M_infogram_socialEquityCitiesRanking,M_nationalEquityAtlas,M_usNews_stateRankingsEquality,M_wallethub_statesRacialEquality,M_wallethub_racialIntegration,M_wisevoter_mostDiverseStates,M_bloomberg_blackWomenMetros,M_georgetown_usaIndex,M_usaNews_statesGenderEquality,M_statusWomen_bestWorstStates,M_iwpr_reproductiveRights,M_wallethub_womenEquity,M_hrc_stateEquityIndex,M_move_lgbtqFamily,M_map_equaliltyMaps,M_axios_lgbtq_equality,M_wallethub_citiesDisabilities,M_ncaj_disabilityAccess,M_usNews_equalityRankings
250,CA,Garden Grove,5.582076906318083,18,4.57,2,4.7622,4,5.43536,5,7.35156862745098,4,5.235169934640523,3,4.253,4.887,2.56,5.558400000000001,5.3544,5.5760000000000005,,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,5.031000000000001,4.4,6.274509803921569
241,CA,Glendale,5.589021350762526,18,4.57,2,4.7622,4,5.43536,5,7.35156862745098,4,5.27683660130719,3,4.253,4.887,2.56,5.558400000000001,5.3544,5.5760000000000005,,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,5.156000000000001,4.4,6.274509803921569
230,CA,Huntington Beach,5.612465795206972,18,4.57,2,4.7622,4,5.43536,5,7.35156862745098,4,5.417503267973856,3,4.253,4.887,2.56,5.558400000000001,5.3544,5.5760000000000005,,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,5.578,4.4,6.274509803921569
240,CA,Irvine,5.589299128540305,18,4.57,2,4.7622,4,5.43536,5,7.35156862745098,4,5.278503267973856,3,4.253,4.887,2.56,5.558400000000001,5.3544,5.5760000000000005,,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,5.161,4.4,6.274509803921569
71,CA,Long Beach,5.705299128540305,18,5.725,2,4.7622,4,5.43536,5,7.35156862745098,4,5.204503267973856,3,6.563,4.887,2.56,5.558400000000001,5.3544,5.5760000000000005,,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,4.939,4.4,6.274509803921569
70,CA,Los Angeles,5.787967595459236,19,5.623,2,5.30976,5,5.43536,5,7.35156862745098,4,5.1978366013071895,3,6.575,4.671,2.56,5.558400000000001,5.3544,5.5760000000000005,7.5,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,4.919,4.4,6.274509803921569
220,CA,Modesto,5.7809149638802895,19,5.641,2,5.30976,5,5.43536,5,7.35156862745098,4,5.141169934640524,3,6.575,4.707,2.56,5.558400000000001,5.3544,5.5760000000000005,7.5,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,4.7490000000000006,4.4,6.274509803921569
279,CA,Moreno Valley,5.766072858617131,19,5.641,2,5.30976,5,5.43536,5,7.35156862745098,4,5.047169934640523,3,6.575,4.707,2.56,5.558400000000001,5.3544,5.5760000000000005,7.5,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,4.4670000000000005,4.4,6.274509803921569
72,CA,Oakland,5.807967595459236,19,5.6194999999999995,2,5.30976,5,5.43536,5,7.35156862745098,4,5.32683660130719,3,6.531999999999999,4.707,2.56,5.558400000000001,5.3544,5.5760000000000005,7.5,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,5.306,4.4,6.274509803921569
238,CA,Oceanside,5.800914963880289,19,5.6194999999999995,2,5.30976,5,5.43536,5,7.35156862745098,4,5.282169934640523,3,6.531999999999999,4.707,2.56,5.558400000000001,5.3544,5.5760000000000005,7.5,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,5.172,4.4,6.274509803921569
268,CA,Ontario,5.772967595459236,19,5.6194999999999995,2,5.30976,5,5.43536,5,7.35156862745098,4,5.105169934640523,3,6.531999999999999,4.707,2.56,5.558400000000001,5.3544,5.5760000000000005,7.5,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,4.641,4.4,6.274509803921569
153,CA,Oxnard,5.895651805985552,19,6.6899999999999995,2,5.30976,5,5.43536,5,7.35156862745098,4,5.168503267973857,3,6.531999999999999,6.848000000000001,2.56,5.558400000000001,5.3544,5.5760000000000005,7.5,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,4.831,4.4,6.274509803921569
255,CA,Rancho Cucamonga,5.903651805985552,19,6.6899999999999995,2,5.30976,5,5.43536,5,7.35156862745098,4,5.219169934640523,3,6.531999999999999,6.848000000000001,2.56,5.558400000000001,5.3544,5.5760000000000005,7.5,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,4.983,4.4,6.274509803921569
91,CA,Riverside,5.68749391124871,19,5.4079999999999995,2,4.96976,5,5.43536,5,7.35156862745098,4,5.2715032679738565,3,5.519,5.297,2.56,5.558400000000001,5.3544,5.5760000000000005,5.8,4.512,4.8432,7.359999999999999,4.976,5.4856,6.8,7.686274509803923,8.0,6.92,5.14,4.4,6.274509803921569
