,State,City,M,n,M_social,n_social,M_race,n_race,M_gender,n_gender,M_sexual_orientation,n_sexual_orientation,M_disabilities,n_disabilities
62,AR,Little Rock,4.541428667996271,14,8.343155413369255,1.0,6.569916358722239,4.0,2.5720514930393836,4.0,0.4223928614301692,4.0,4.7996272134203135,1.0
3,AS,,1.6915422889999998,1,,0.0,,0.0,,0.0,1.6915422889999998,1.0,,0.0
4,AZ,,4.500438726195865,15,4.989055396531403,1.0,6.946370247602307,4.0,5.41144281035154,4.0,2.080791015003395,4.0,3.074534161490684,2.0
63,AZ,Chandler,5.179348491553722,14,3.359349941195338,1.0,6.946370247602307,4.0,5.41144281035154,4.0,2.080791015003395,4.0,8.098788443616028,1.0
231,AZ,Gilbert,5.041417457070963,14,3.359349941195338,1.0,6.946370247602307,4.0,5.41144281035154,4.0,2.080791015003395,4.0,7.409133271202236,1.0
232,AZ,Glendale,4.860615965924644,14,3.359349941195338,1.0,6.946370247602307,4.0,5.41144281035154,4.0,2.080791015003395,4.0,6.505125815470643,1.0
64,AZ,Mesa,5.028038512218805,14,3.27381588795039,1.0,6.946370247602307,4.0,5.41144281035154,4.0,2.080791015003395,4.0,7.42777260018639,1.0
233,AZ,Peoria,5.119371224241172,14,3.27381588795039,1.0,6.946370247602307,4.0,5.41144281035154,4.0,2.080791015003395,4.0,7.884436160298231,1.0
65,AZ,Phoenix,5.872369828405525,12,5.578479353122937,2.0,9.944444444444443,1.0,5.41144281035154,4.0,2.080791015003395,4.0,6.346691519105309,1.0
234,AZ,Scottsdale,6.484671785535068,12,5.578479353122937,2.0,9.944444444444443,1.0,5.41144281035154,4.0,2.080791015003395,4.0,9.408201304753025,1.0
235,AZ,Tempe,6.45391689271121,12,5.578479353122937,2.0,9.944444444444443,1.0,5.41144281035154,4.0,2.080791015003395,4.0,9.254426840633736,1.0
66,AZ,Tucson,6.344512537176415,12,5.772370902569188,2.0,9.944444444444443,1.0,5.41144281035154,4.0,2.080791015003395,4.0,8.51351351351351,1.0
5,CA,,7.346112581570489,16,3.3473648762417922,1.0,6.989127060174595,4.0,8.56888714731756,5.0,9.599806716753815,4.0,8.225377107364686,2.0
67,CA,Anaheim,7.419632802211749,15,5.206885491286217,1.0,6.989127060174595,4.0,8.56888714731756,5.0,9.599806716753815,4.0,6.733457595526558,1.0
68,CA,Bakersfield,7.014455802985424,16,3.2415783143530996,2.0,6.989127060174595,4.0,8.56888714731756,5.0,9.599806716753815,4.0,6.67287977632805,1.0
69,CA,Chula Vista,7.717453228329569,15,7.362343633058911,1.0,6.989127060174595,4.0,8.56888714731756,5.0,9.599806716753815,4.0,6.0671015843429625,1.0
236,CA,Fontana,7.392196937556037,15,7.362343633058911,1.0,6.989127060174595,4.0,8.56888714731756,5.0,9.599806716753815,4.0,4.440820130475304,1.0
237,CA,Fremont,8.18436841938269,15,7.362343633058911,1.0,6.989127060174595,4.0,8.56888714731756,5.0,9.599806716753815,4.0,8.401677539608574,1.0
70,CA,Fresno,6.895195563924624,16,3.083301350176777,2.0,6.989127060174595,4.0,8.56888714731756,5.0,9.599806716753815,4.0,6.23485554520037,1.0
238,CA,Garden Grove,7.0592216589852015,16,3.083301350176777,2.0,6.989127060174595,4.0,8.56888714731756,5.0,9.599806716753815,4.0,7.0549860205032635,1.0
239,CA,Glendale,7.175717465136181,16,3.083301350176777,2.0,6.989127060174595,4.0,8.56888714731756,5.0,9.599806716753815,4.0,7.637465051258157,1.0
240,CA,Huntington Beach,7.569007306701884,16,3.083301350176777,2.0,6.989127060174595,4.0,8.56888714731756,5.0,9.599806716753815,4.0,9.603914259086674,1.0
241,CA,Irvine,7.180377297382219,16,3.083301350176777,2.0,6.989127060174595,4.0,8.56888714731756,5.0,9.599806716753815,4.0,7.660764212488347,1.0
71,CA,Long Beach,7.592359874746002,15,6.177696995616379,1.0,6.989127060174595,4.0,8.56888714731756,5.0,9.599806716753815,4.0,6.6262814538676595,1.0
72,CA,Los Angeles,7.5208264176522786,13,5.680131193020918,2.0,7.222222222222223,1.0,8.56888714731756,5.0,9.599806716753815,4.0,6.533084808946875,1.0
73,CA,Modesto,7.2437088697176195,12,5.086714935174271,1.0,7.222222222222223,1.0,8.56888714731756,5.0,9.599806716753815,4.0,5.740913327120225,1.0
242,CA,Moreno Valley,6.980894331041012,12,5.086714935174271,1.0,7.222222222222223,1.0,8.56888714731756,5.0,9.599806716753815,4.0,4.426840633737187,1.0
74,CA,Oakland,7.967752815761832,12,6.1114081043515425,1.0,7.222222222222223,1.0,8.56888714731756,5.0,9.599806716753815,4.0,8.336439888164026,1.0
243,CA,Oceanside,7.842869311567983,12,6.1114081043515425,1.0,7.222222222222223,1.0,8.56888714731756,5.0,9.599806716753815,4.0,7.712022367194779,1.0
