,State,City,M,n,PSW,M_social,n_social,M_race,n_race,M_gender,n_gender,M_sexual_orientation,n_sexual_orientation,M_disabilities,n_disabilities,M_infogram_socialEquityCitiesRanking,PSW_infogram_socialEquityCitiesRanking,M_nationalEquityAtlas,PSW_nationalEquityAtlas,M_usNews_stateRankingsEquality,PSW_usNews_stateRankingsEquality,M_wallethub_statesRacialEquality,PSW_wallethub_statesRacialEquality,M_wallethub_racialIntegration,PSW_wallethub_racialIntegration,M_wisevoter_mostDiverseStates,PSW_wisevoter_mostDiverseStates,M_bloomberg_blackWomenMetros,PSW_bloomberg_blackWomenMetros,M_georgetown_usaIndex,PSW_georgetown_usaIndex,M_usaNews_statesGenderEquality,PSW_usaNews_statesGenderEquality,M_statusWomen_bestWorstStates,PSW_statusWomen_bestWorstStates,M_iwpr_reproductiveRights,PSW_iwpr_reproductiveRights,M_wallethub_womenEquity,PSW_wallethub_womenEquity,M_hrc_stateEquityIndex,PSW_hrc_stateEquityIndex,M_move_lgbtqFamily,PSW_move_lgbtqFamily,M_map_equaliltyMaps,PSW_map_equaliltyMaps,M_axios_lgbtq_equality,PSW_axios_lgbtq_equality,M_wallethub_citiesDisabilities,PSW_wallethub_citiesDisabilities,M_ncaj_disabilityAccess,PSW_ncaj_disabilityAccess,M_usNews_equalityRankings,PSW_usNews_equalityRankings
157,CA,Santa Rosa,7.682452976169247,19,5.203333333333334,7.260100827119823,2,6.412907161344497,5,8.56888714731756,5,9.599806716753815,4,7.15089917809986,3,22.854605876575757,19.0,24.863929989054853,15.2,1.7884924629685308,3.04,4.519096055790795,3.04,4.543724718586987,3.04,6.502854914631089,3.8,7.935938500960921,7.6,4.457711137008869,3.1666666666666665,3.350811053658183,2.533333333333333,5.598975016015373,3.1666666666666665,4.852498930534774,2.533333333333333,4.685518453293619,2.533333333333333,9.128763613068545,4.75,7.004928813293414,3.8,9.128763613068545,4.75,8.038603134958926,4.75,7.100187288837352,6.08,5.080355402055537,3.04,4.530847572853613,3.04
86,CA,Stockton,6.782065421458523,19,5.203333333333334,4.7186165222539405,2,6.412907161344497,5,8.56888714731756,5,9.599806716753815,4,6.9784853849964135,3,15.210376579285807,19.0,15.80372048562478,15.2,1.7884924629685308,3.04,4.519096055790795,3.04,4.543724718586987,3.04,6.502854914631089,3.8,7.935938500960921,7.6,4.457711137008869,3.1666666666666665,3.350811053658183,2.533333333333333,5.598975016015373,3.1666666666666665,4.852498930534774,2.533333333333333,4.685518453293619,2.533333333333333,9.128763613068545,4.75,7.004928813293414,3.8,9.128763613068545,4.75,8.038603134958926,4.75,6.69726255005364,6.08,5.080355402055537,3.04,4.530847572853613,3.04
173,CA,Vallejo,7.193940194872925,19,5.203333333333334,5.9092397098463145,2,6.412907161344497,5,8.56888714731756,5,9.599806716753815,4,6.9784853849964135,3,15.210376579285807,19.0,23.629341180498418,15.2,1.7884924629685308,3.04,4.519096055790795,3.04,4.543724718586987,3.04,6.502854914631089,3.8,7.935938500960921,7.6,4.457711137008869,3.1666666666666665,3.350811053658183,2.533333333333333,5.598975016015373,3.1666666666666665,4.852498930534774,2.533333333333333,4.685518453293619,2.533333333333333,9.128763613068545,4.75,7.004928813293414,3.8,9.128763613068545,4.75,8.038603134958926,4.75,6.69726255005364,6.08,5.080355402055537,3.04,4.530847572853613,3.04
225,CA,Visalia,6.3717439155742825,19,5.203333333333334,3.5324834283922724,2,6.412907161344497,5,8.56888714731756,5,9.599806716753815,4,6.9784853849964135,3,15.210376579285807,19.0,8.007611873824194,15.2,1.7884924629685308,3.04,4.519096055790795,3.04,4.543724718586987,3.04,6.502854914631089,3.8,7.935938500960921,7.6,4.457711137008869,3.1666666666666665,3.350811053658183,2.533333333333333,5.598975016015373,3.1666666666666665,4.852498930534774,2.533333333333333,4.685518453293619,2.533333333333333,9.128763613068545,4.75,7.004928813293414,3.8,9.128763613068545,4.75,8.038603134958926,4.75,6.69726255005364,6.08,5.080355402055537,3.04,4.530847572853613,3.04
6,CO,,7.231495323481774,16,3.661458333333333,8.737161138238761,1,5.731873241268749,4,6.257257751267808,5,9.36444034000621,4,4.436557231588287,2,,,18.135512849100998,7.6,0.6777716492002206,3.04,6.982275728873932,3.04,6.4650378378378415,3.04,6.100681551116333,3.8,,,6.350852697716166,3.1666666666666665,4.690828974587531,2.533333333333333,7.264864864864866,3.1666666666666665,2.310137379904822,2.533333333333333,3.194718552616002,2.533333333333333,12.972972972972975,4.75,8.895752895752898,3.8,12.908430818594596,4.75,11.387003259088536,4.75,,,6.858754406580493,3.04,0.5083287369001656,3.04
84,CO,Aurora,6.513052427700584,18,4.647962962962963,5.519044099706653,2,5.731873241268749,4,6.257257751267808,5,9.36444034000621,4,5.578017665188365,3,17.29879283511474,19.0,14.286349779406299,7.6,0.5339183364488868,3.04,5.500326026010169,3.04,5.092869038607118,3.04,4.80584537405786,3.8,,,5.002919067797793,3.1666666666666665,3.6952262692506803,2.533333333333333,5.722937168811506,3.1666666666666665,1.8198233996695343,2.533333333333333,2.516657073289952,2.533333333333333,10.219530658591975,4.75,7.007678165891641,3.8,10.168687222255866,4.75,8.970174312255114,4.75,8.789748792359147,6.08,5.403021426455583,3.04,0.4004387523366652,3.04
125,CO,Colorado Springs,6.430087002805363,18,5.070185185185185,5.322205801231423,2,5.731873241268749,4,6.257257751267808,5,9.36444034000621,4,6.130207786344002,3,6.178217857044015,19.0,29.721740774440672,15.2,0.48945601835460056,3.04,5.04228360885457,3.04,4.6687578070784195,3.04,4.4056361826026595,3.8,,,4.586298465344125,3.1666666666666665,3.387504442526127,2.533333333333333,5.246356696738376,3.1666666666666665,1.6682766904673525,2.533333333333333,2.307081189324099,2.533333333333333,9.368494101318529,4.75,6.424110240904135,3.8,9.321884677723801,4.75,8.22317853330257,4.75,9.382114651922492,6.08,4.953082098784056,3.04,0.3670920137659505,3.04
145,CO,Denve,6.2898689473703895,18,5.070185185185185,4.948031323672538,2,5.731873241268749,4,6.257257751267808,5,9.36444034000621,4,6.130207786344002,3,6.178217857044015,19.0,27.19781577661113,15.2,0.48945601835460056,3.04,5.04228360885457,3.04,4.6687578070784195,3.04,4.4056361826026595,3.8,,,4.586298465344125,3.1666666666666665,3.387504442526127,2.533333333333333,5.246356696738376,3.1666666666666665,1.6682766904673525,2.533333333333333,2.307081189324099,2.533333333333333,9.368494101318529,4.75,6.424110240904135,3.8,9.321884677723801,4.75,8.22317853330257,4.75,9.382114651922492,6.08,4.953082098784056,3.04,0.3670920137659505,3.04
76,CO,Denver,7.1455426448187245,18,5.070185185185185,6.977089142316585,2,5.731873241268749,4,6.257257751267808,5,9.36444034000621,4,6.84549203611101,3,19.86485352478874,19.0,27.19781577661113,15.2,0.48945601835460056,3.04,5.04228360885457,3.04,4.6687578070784195,3.04,4.4056361826026595,3.8,,,4.586298465344125,3.1666666666666665,3.387504442526127,2.533333333333333,5.246356696738376,3.1666666666666665,1.6682766904673525,2.533333333333333,2.307081189324099,2.533333333333333,9.368494101318529,4.75,6.424110240904135,3.8,9.321884677723801,4.75,8.22317853330257,4.75,11.09760553824781,6.08,4.953082098784056,3.04,0.3670920137659505,3.04
7,CT,,8.027809058600127,16,3.661458333333333,7.51810069035191,1,6.037875118568943,4,9.06137520426784,5,9.338903625818759,4,6.632653061224489,2,,,15.605138730243967,7.6,2.8805295091009375,3.04,6.110675502203104,3.04,5.599975289575291,3.04,6.714359576968273,3.8,,,8.441208736411687,3.1666666666666665,5.644494525639517,2.533333333333333,8.475675675675678,3.1666666666666665,6.010954476070755,2.533333333333333,5.909872768929714,2.533333333333333,12.972972972972975,4.75,8.260341974627691,3.8,12.004840661189192,4.75,12.800115238489656,4.75,,,8.302702702702703,3.04,2.711086596800883,3.04
175,CT,Bridgeport,7.725006216673792,17,4.250784313725491,8.003030813268225,1,6.037875118568943,4,9.06137520426784,5,9.338903625818759,4,5.243167164349429,3,,,28.61732315349198,15.2,2.48117476613783,3.04,5.263495413680092,3.04,4.823598347314385,3.04,5.78348511984148,3.8,,,7.270925031774415,3.1666666666666665,4.861945465363791,2.533333333333333,7.300613496932514,3.1666666666666665,5.177599645936272,2.533333333333333,5.090531841116329,2.533333333333333,11.174408413672214,4.75,7.115133520542309,3.8,10.340497337708149,4.75,11.025515563390105,4.75,5.512013872496201,6.08,7.151621384750217,3.04,2.3352233093061936,3.04
169,CT,Hartford,7.766089984025745,17,4.250784313725491,8.198349890553963,1,6.037875118568943,4,9.06137520426784,5,9.338903625818759,4,5.243167164349429,3,,,29.315747198475165,15.2,2.48117476613783,3.04,5.263495413680092,3.04,4.823598347314385,3.04,5.78348511984148,3.8,,,7.270925031774415,3.1666666666666665,4.861945465363791,2.533333333333333,7.300613496932514,3.1666666666666665,5.177599645936272,2.533333333333333,5.090531841116329,2.533333333333333,11.174408413672214,4.75,7.115133520542309,3.8,10.340497337708149,4.75,11.025515563390105,4.75,5.512013872496201,6.08,7.151621384750217,3.04,2.3352233093061936,3.04
165,CT,New Haven,7.91874548379122,17,4.250784313725491,8.331368917326149,1,6.037875118568943,4,9.06137520426784,5,9.338903625818759,4,5.984080491469652,3,,,29.791398056696472,15.2,2.48117476613783,3.04,5.263495413680092,3.04,4.823598347314385,3.04,5.78348511984148,3.8,,,7.270925031774415,3.1666666666666665,4.861945465363791,2.533333333333333,7.300613496932514,3.1666666666666665,5.177599645936272,2.533333333333333,5.090531841116329,2.533333333333333,11.174408413672214,4.75,7.115133520542309,3.8,10.340497337708149,4.75,11.025515563390105,4.75,7.631506510287973,6.08,7.151621384750217,3.04,2.3352233093061936,3.04
8,DC,,7.354353612361821,13,3.469761904761905,,0,5.130434782608696,4,7.643062212783393,4,9.125670169510851,4,4.782608695652173,1,,,,,,,0.0,3.04,0.0,3.04,9.275664644861404,3.8,10.951760104302476,3.8,8.890727759950348,3.1666666666666665,5.929079832447513,2.533333333333333,,,3.9780479670113085,2.533333333333333,4.918556521978669,2.533333333333333,13.689700130378096,4.75,10.951760104302476,3.8,12.531864796349414,4.75,10.299196450519293,4.75,,,4.190238648602686,3.04,,3.04
60,DC,Washington,7.728631559366901,16,5.22686274509804,7.89939330426874,2,5.130434782608696,4,7.643062212783393,4,9.125670169510851,4,7.2769358563961255,2,25.930901074273862,19.0,25.75579210690007,15.2,,,0.0,3.04,0.0,3.04,6.157488611360749,3.8,7.270135424091232,3.8,5.901954956826829,3.1666666666666665,3.9359165021526894,2.533333333333333,,,2.6407579392047884,2.533333333333333,3.2650981819610965,2.533333333333333,9.08766928011404,4.75,7.270135424091232,3.8,8.31906043578047,4.75,6.836942394782663,4.75,8.504635586504486,6.08,2.7816170318262103,3.04,,3.04
9,DE,,6.560257823455801,15,3.694444444444444,6.51456474153898,1,7.935104141859529,4,6.726397609716231,4,7.0305891107191805,4,2.0053238686779062,2,,,13.401390325451617,7.6,6.045481049562682,3.04,6.685200806895288,3.04,7.667461224489798,3.04,7.352049689440993,3.8,,,5.645756457564575,3.1666666666666665,5.323139834651969,2.533333333333333,,,3.5310868533459896,2.533333333333333,5.102661317039054,2.533333333333333,9.642857142857144,4.75,7.137026239067057,3.8,9.594882729000002,4.75,7.974683544303797,4.75,,,1.7888198757763976,3.04,1.511370262390671,3.04
281,DE,Dover,6.334590413700067,16,3.8435416666666664,6.51456474153898,1,7.935104141859529,4,6.726397609716231,4,7.0305891107191805,4,3.1415249352709202,3,,,12.881528634145047,7.6,5.810967023266566,3.04,6.425871012463716,3.04,7.370027953508902,3.04,7.06685174405588,3.8,,,5.426748397247103,3.1666666666666665,5.116646596987818,2.533333333333333,,,3.394110260682722,2.533333333333333,4.904720799076331,2.533333333333333,9.268795056642636,4.75,6.860169402467476,3.8,9.222681648197735,4.75,7.665332620683361,4.75,6.766825065770344,6.08,1.7194286481887788,3.04,1.4527417558166422,3.04
246,DE,Wilmington,6.634508926623303,16,3.8435416666666664,6.51456474153898,1,7.935104141859529,4,6.726397609716231,4,7.0305891107191805,4,4.65830033135666,3,,,12.881528634145047,7.6,5.810967023266566,3.04,6.425871012463716,3.04,7.370027953508902,3.04,7.06685174405588,3.8,,,5.426748397247103,3.1666666666666665,5.116646596987818,2.533333333333333,,,3.394110260682722,2.533333333333333,4.904720799076331,2.533333333333333,9.268795056642636,4.75,6.860169402467476,3.8,9.222681648197735,4.75,7.665332620683361,4.75,11.565521272542119,6.08,1.7194286481887788,3.04,1.4527417558166422,3.04
10,FL,,5.301306922110532,16,3.661458333333333,5.354436773867652,1,7.799498612266992,4,4.464550659710016,5,3.5387788938549267,4,7.076308784383319,2,,,11.114074168460427,7.6,5.422173193601765,3.04,7.082936081138908,3.04,6.786075675675678,3.04,8.23050528789659,3.8,,,4.6913333998204845,3.1666666666666665,4.436805193494678,2.533333333333333,0.6918918918918919,3.1666666666666665,2.919278082068779,2.533333333333333,4.250116645890932,2.533333333333333,6.486486486486488,4.75,3.3888582460011034,3.8,3.2916498590270282,4.75,4.278228928462106,4.75,,,6.497767332549943,3.04,5.2527302813017105,3.04
