,State,City,M,n,PSW,M_social,n_social,M_race,n_race,M_gender,n_gender,M_sexual_orientation,n_sexual_orientation,M_disabilities,n_disabilities,M_infogram_socialEquityCitiesRanking,PSW_infogram_socialEquityCitiesRanking,M_nationalEquityAtlas,PSW_nationalEquityAtlas,M_usNews_stateRankingsEquality,PSW_usNews_stateRankingsEquality,M_wallethub_statesRacialEquality,PSW_wallethub_statesRacialEquality,M_wallethub_racialIntegration,PSW_wallethub_racialIntegration,M_wisevoter_mostDiverseStates,PSW_wisevoter_mostDiverseStates,M_bloomberg_blackWomenMetros,PSW_bloomberg_blackWomenMetros,M_georgetown_usaIndex,PSW_georgetown_usaIndex,M_usaNews_statesGenderEquality,PSW_usaNews_statesGenderEquality,M_statusWomen_bestWorstStates,PSW_statusWomen_bestWorstStates,M_iwpr_reproductiveRights,PSW_iwpr_reproductiveRights,M_wallethub_womenEquity,PSW_wallethub_womenEquity,M_hrc_stateEquityIndex,PSW_hrc_stateEquityIndex,M_move_lgbtqFamily,PSW_move_lgbtqFamily,M_map_equaliltyMaps,PSW_map_equaliltyMaps,M_axios_lgbtq_equality,PSW_axios_lgbtq_equality,M_wallethub_citiesDisabilities,PSW_wallethub_citiesDisabilities,M_ncaj_disabilityAccess,PSW_ncaj_disabilityAccess,M_usNews_equalityRankings,PSW_usNews_equalityRankings
267,SD,Rapid City,3.0643166155653656,16,3.8435416666666664,3.8409999999999997,1,4.133176470588234,4,3.9462352941176473,4,1.655469633258514,4,2.753617647058823,3,,,7.594974253347064,7.6,0.15818743563336768,3.04,5.879036045314109,3.04,4.336708547888774,3.04,3.51967044284243,3.8,,,3.8640576725025744,3.1666666666666665,2.85923789907312,2.533333333333333,,,0.48774459320288355,2.533333333333333,3.8432955715756956,2.533333333333333,0.6179196704428425,4.75,1.74471436360332,3.8,0.9837527091658084,4.75,4.428012358393409,4.75,7.385771369721936,6.08,0.39546858908341914,3.04,0.930514327255104,3.04
249,SD,Sioux Falls,3.100996327202853,16,3.8435416666666664,3.8409999999999997,1,4.133176470588234,4,3.9462352941176473,4,1.655469633258514,4,2.9391176470588234,3,,,7.594974253347064,7.6,0.15818743563336768,3.04,5.879036045314109,3.04,4.336708547888774,3.04,3.51967044284243,3.8,,,3.8640576725025744,3.1666666666666665,2.85923789907312,2.533333333333333,,,0.48774459320288355,2.533333333333333,3.8432955715756956,2.533333333333333,0.6179196704428425,4.75,1.74471436360332,3.8,0.9837527091658084,4.75,4.428012358393409,4.75,7.97264675592173,6.08,0.39546858908341914,3.04,0.930514327255104,3.04
46,TN,,3.9387738215104937,16,3.661458333333333,5.463,1,6.612235294117646,4,2.736272727272728,5,1.6916008964401443,4,5.779411764705882,2,,,11.339416216216218,7.6,6.808216216216217,3.04,5.967152432432433,3.04,5.720562162162164,3.04,4.836324324324325,3.8,,,2.5859459459459457,3.1666666666666665,2.7952432432432435,2.533333333333333,0.34594594594594597,3.1666666666666665,1.293837837837838,2.533333333333333,3.3916540540540545,2.533333333333333,0.6486486486486487,4.75,2.8489666136724967,3.8,0.25816861634594596,4.75,4.583351351351352,4.75,,,3.7362162162162162,3.04,5.8607313195548505,3.04
185,TN,Chattanooga,4.328243457403335,17,4.250784313725491,6.220000000000001,1,6.612235294117646,4,2.736272727272728,5,1.6916008964401443,4,5.274705882352941,3,,,22.24154250657318,15.2,5.864329535495178,3.04,5.1398702892199815,3.04,4.9274671340929,3.04,4.165819456617001,3.8,,,2.2274320771253278,3.1666666666666665,2.407712532865906,2.533333333333333,0.2979842243645923,3.1666666666666665,1.1144609991235754,2.533333333333333,2.921437335670464,2.533333333333333,0.5587204206836107,4.75,2.4539877300613493,3.8,0.2223762868120069,4.75,3.9479184925503934,4.75,6.822646801051708,6.08,3.2182296231375975,3.04,5.048203330411918,3.04
170,TN,Knoxville,4.369344246185105,17,4.250784313725491,6.547,1,6.612235294117646,4,2.736272727272728,5,1.6916008964401443,4,5.110205882352941,3,,,23.410832602979834,15.2,5.864329535495178,3.04,5.1398702892199815,3.04,4.9274671340929,3.04,4.165819456617001,3.8,,,2.2274320771253278,3.1666666666666665,2.407712532865906,2.533333333333333,0.2979842243645923,3.1666666666666665,1.1144609991235754,2.533333333333333,2.921437335670464,2.533333333333333,0.5587204206836107,4.75,2.4539877300613493,3.8,0.2223762868120069,4.75,3.9479184925503934,4.75,6.3520701139351425,6.08,3.2182296231375975,3.04,5.048203330411918,3.04
138,TN,Memphis,4.084772443880336,19,5.203333333333334,4.748999999999999,2,5.422518518518517,5,2.736272727272728,5,1.6916008964401443,4,5.05670588235294,3,13.733311979500318,19.0,17.480486867392692,15.2,4.7907751441383715,3.04,4.198939141575912,3.04,4.025419602818706,3.04,3.403203074951953,3.8,4.966047405509288,7.6,1.8196668802049962,3.1666666666666665,1.9669442664958354,2.533333333333333,0.2434336963484945,3.1666666666666665,0.9104420243433694,2.533333333333333,2.3866239590006404,2.533333333333333,0.4564381806534272,4.75,2.0047480875758374,3.8,0.18166693755124916,4.75,3.2251921844971165,4.75,5.064199871877001,6.08,2.6290839205637404,3.04,4.124053208727436,3.04
119,TN,Nashville,4.5154194650206305,19,5.203333333333334,5.3214444444444435,2,6.441037037037036,5,2.736272727272728,5,1.6916008964401443,4,5.22920588235294,3,16.66912235746316,19.0,18.30718770019218,15.2,4.7907751441383715,3.04,4.198939141575912,3.04,4.025419602818706,3.04,3.403203074951953,3.8,8.982703395259449,7.6,1.8196668802049962,3.1666666666666665,1.9669442664958354,2.533333333333333,0.2434336963484945,3.1666666666666665,0.9104420243433694,2.533333333333333,2.3866239590006404,2.533333333333333,0.4564381806534272,4.75,2.0047480875758374,3.8,0.18166693755124916,4.75,3.2251921844971165,4.75,5.467326073030108,6.08,2.6290839205637404,3.04,4.124053208727436,3.04
47,TX,,4.05870838909221,16,3.661458333333333,5.457,1,5.759529411764706,4,3.2475454545454547,5,2.329626711759546,4,5.688725490196079,2,,,11.326962162162163,7.6,0.9963243243243244,3.04,6.334962162162163,3.04,6.038555675675677,3.04,6.953513513513515,3.8,,,3.0702702702702704,3.1666666666666665,3.5009729729729737,2.533333333333333,0.6918918918918919,3.1666666666666665,1.6051891891891892,2.533333333333333,3.4899027027027025,2.533333333333333,1.9459459459459463,4.75,1.4244833068362484,3.8,2.194433239783784,4.75,5.91956756756757,4.75,,,2.2832432432432435,3.04,7.163116057233706,3.04
275,TX,Amarillo,4.1035859548582705,17,3.803725490196078,5.457,1,5.759529411764706,4,3.2475454545454547,5,2.329626711759546,4,5.1123627450980385,3,,,10.903310479921645,7.6,0.9590597453476983,3.04,6.098021547502449,3.04,5.812701273261509,3.04,6.693437806072479,3.8,,,2.955435847208619,3.1666666666666665,3.3700293829578847,2.533333333333333,0.6660137120470127,3.1666666666666665,1.5451518119490693,2.533333333333333,3.359373163565132,2.533333333333333,1.8731635651322234,4.75,1.3712047012732618,3.8,2.112356923090108,4.75,5.6981635651322255,4.75,7.2504916748285995,6.08,2.197845249755142,3.04,6.895200783545545,3.04
136,TX,Arlington,4.044724647926036,18,4.647962962962963,4.306285714285714,2,5.759529411764706,4,3.2475454545454547,5,2.329626711759546,4,5.109862745098039,3,15.721725965177894,19.0,8.922876608629824,7.6,0.7848599545798636,3.04,4.990401211203633,3.04,4.756905374716124,3.04,5.4776684330053,3.8,,,2.4186222558667674,3.1666666666666665,2.757910673732021,2.533333333333333,0.5450416351249052,3.1666666666666665,1.26449659348978,2.533333333333333,2.749190007570022,2.533333333333333,1.5329295987887963,4.75,1.122144542904217,3.8,1.7286768282740348,4.75,4.6631718395155195,4.75,5.927000757002272,6.08,1.7986373959121875,3.04,5.642783987175491,3.04
